Lat,Lat_MIn,Lon,Lon_Min,Thru
48,16.6644,106,41.9893,3.08
48,11.7103,106,42.005,3.08
48,16.6644,106,42.005,3.08
48,11.6561,106,38.0729,3.05
48,15.6322,106,38.0729,3.05
48,11.6561,106,41.6226,3.05
48,15.6322,106,41.6226,3.05
48,11.6449,106,38.0406,3.14
48,15.5279,106,38.0406,3.14
48,15.5453,106,38.0406,3.14
48,11.6449,106,41.6224,3.14
48,15.5279,106,41.6224,3.14
48,15.5453,106,41.6224,3.14
48,11.4835,106,37.6252,3.06
48,14.5182,106,37.6252,3.06
48,14.5358,106,37.6252,3.06
48,11.4835,106,41.1406,3.06
48,14.5182,106,41.1406,3.06
48,14.5358,106,41.1406,3.06
48,11.4835,106,41.1515,3.06
48,14.5182,106,41.1515,3.06
48,14.5358,106,41.1515,3.06
48,11.4475,106,37.5758,3.24
48,14.4361,106,37.5758,3.24
48,11.4475,106,41.0799,3.24
48,14.4361,106,41.0799,3.24
48,11.4475,106,41.0938,3.24
48,14.4361,106,41.0938,3.24
48,11.0317,106,37.13,3.12
48,13.6531,106,37.13,3.12
48,13.6654,106,37.13,3.12
48,11.0317,106,39.9408,3.12
48,13.6531,106,39.9408,3.12
48,13.6654,106,39.9408,3.12
48,10.9829,106,37.0785,3.32
48,13.5927,106,37.0785,3.32
48,13.6045,106,37.0785,3.32
48,10.9829,106,39.8312,3.32
48,13.5927,106,39.8312,3.32
48,13.6045,106,39.8312,3.32
48,10.9829,106,39.8488,3.32
48,13.5927,106,39.8488,3.32
48,13.6045,106,39.8488,3.32
48,10.5312,106,36.6869,3.12
48,13.0195,106,36.6869,3.12
48,13.0284,106,36.6869,3.12
48,10.5312,106,38.9948,3.12
48,13.0195,106,38.9948,3.12
48,13.0284,106,38.9948,3.12
48,10.5312,106,39.0072,3.12
48,13.0195,106,39.0072,3.12
48,13.0284,106,39.0072,3.12
48,10.4989,106,38.9303,3.29
48,12.973,106,38.9303,3.29
48,10.4989,106,38.9436,3.29
48,12.973,106,38.9436,3.29
48,10.1263,106,36.0161,3.02
48,12.4132,106,36.0161,3.02
48,12.4229,106,36.0161,3.02
48,10.1263,106,38.4814,3.02
48,12.4132,106,38.4814,3.02
48,12.4229,106,38.4814,3.02
48,10.0828,106,35.9417,3.49
48,12.3663,106,35.9417,3.49
48,12.3756,106,35.9417,3.49
48,10.0828,106,38.4809,3.49
